date,pH,electricalConductivity,organicMatter,nitrogen,phosphorus,potassium,calcium,magnesium,sulfur,zinc,iron,soilTexture,moistureContent,crop_type,yield_per_acre,image_paths
03/16/2025,6.5,1.75,4.6,71,21,43,2125,145,26,4.0,5.7,Sandy Loam,27.1,maize,2358,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/16/2025,6.1,1.15,3.3,37,13,32,1640,109,19,3.5,6.6,Loam,18.5,beans,1055,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/16/2025,7.0,1.38,3.9,64,26,38,1890,132,23,4.2,5.1,Sandy Loam,23.4,maize,2180,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/16/2025,6.4,1.01,2.5,41,10,25,1450,95,17,2.9,7.5,Loam,20.1,beans,995,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/17/2025,5.8,1.29,4.2,55,18,48,1750,150,21,3.8,4.5,Sandy Loam,21.5,maize,1970,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/17/2025,7.2,1.52,3.1,32,15,22,1480,118,16,3.1,6.8,Loam,25.9,beans,855,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/17/2025,6.3,1.06,2.2,48,9,30,1600,105,18,2.5,7.1,Sandy Loam,16.8,maize,1390,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/17/2025,6.8,1.45,4.8,60,25,35,1950,170,25,4.8,5.4,Loam,24.5,beans,1290,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/18/2025,6.0,0.95,3.5,40,14,33,1550,115,17,3.0,6.0,Sandy Loam,19.2,maize,1590,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/18/2025,6.6,1.21,2.8,35,9,28,1400,105,15,2.7,5.5,Loam,22.8,beans,991,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
